"","item_num","period","sub_id","int","target","alpha","difference","abs_diff","gamma","timeID","phase","slope_change","p","response"
"1",1081,1,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16201,0,0,0.294202670304772,0
"2",1081,2,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16202,0,0,0.299453993982982,0
"3",1081,3,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16203,0,0,0.304758577186989,0
"4",1081,4,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16204,0,0,0.310115530016786,0
"5",1081,5,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16205,0,0,0.315523911445556,0
"6",1081,6,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16206,1,0,0.427357321205099,0
"7",1081,7,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16207,1,1,0.490208116046188,0
"8",1081,8,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16208,1,2,0.553370002790661,0
"9",1081,9,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16209,1,3,0.614854686056959,1
"10",1081,10,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16210,1,4,0.672878728463243,1
"11",1081,11,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16211,1,5,0.726055923151003,1
"12",1081,12,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16212,1,6,0.773498463357324,1
"13",1081,13,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16213,1,7,0.814820294074521,1
"14",1081,14,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16214,1,8,0.850064847470889,0
"15",1081,15,"266",-2.98180258718545,380,-2.26620700432384,-0.0155955828616092,0.0155955828616092,1.20990407885984,16215,1,9,0.879592684759233,1
"16",1082,1,"266",-2.98180258718545,227,-1.90597331640537,-0.375829270780079,0.375829270780079,1.20990407885984,16216,0,0,0.209451761075671,0
"17",1082,2,"266",-2.98180258718545,227,-1.90597331640537,-0.375829270780079,0.375829270780079,1.20990407885984,16217,0,0,0.213648252969461,0
"18",1082,3,"266",-2.98180258718545,227,-1.90597331640537,-0.375829270780079,0.375829270780079,1.20990407885984,16218,0,0,0.217905648612793,0
"19",1082,4,"266",-2.98180258718545,227,-1.90597331640537,-0.375829270780079,0.375829270780079,1.20990407885984,16219,0,0,0.22222390669538,0
